county,constituency,ward,no_of_polling_station_2017,no_of_registered_voters_2017,year_2017,no_of_polling_station_2022,no_of_registered_voters_2022,year_2022,change_polling,change_voters,pct_change_voters
BUSIA,TESO SOUTH,AMUKURA WEST,16.0,7650.0,2017.0,20,8862,2022,4.0,1212.0,15.84313725490196
BUSIA,TESO SOUTH,ANG'OROM,26.0,12711.0,2017.0,27,13730,2022,1.0,1019.0,8.016678467469122
BUSIA,TESO SOUTH,CHAKOL NORTH,19.0,7850.0,2017.0,20,9450,2022,1.0,1600.0,20.382165605095544
BUSIA,TESO SOUTH,CHAKOL SOUTH,32.0,13370.0,2017.0,37,15351,2022,5.0,1981.0,14.81675392670157
DIASPORA,DIASPORA,BURUNDI,2.0,875.0,2017.0,1,201,2022,-1.0,-674.0,-77.02857142857142
DIASPORA,DIASPORA,CANADA,,,,3,366,2022,,,
DIASPORA,DIASPORA,GERMANY,,,,1,314,2022,,,
DIASPORA,DIASPORA,QATAR,,,,3,1437,2022,,,
DIASPORA,DIASPORA,RWANDA,2.0,1184.0,2017.0,2,1090,2022,0.0,-94.0,-7.939189189189189
DIASPORA,DIASPORA,SOUTH AFRICA,1.0,164.0,2017.0,2,958,2022,1.0,794.0,484.1463414634147
DIASPORA,DIASPORA,SOUTH SUDAN,,,,2,977,2022,,,
DIASPORA,DIASPORA,TANZANIA,103.0,5528.0,2017.0,3,1402,2022,-100.0,-4126.0,-74.63820549927641
DIASPORA,DIASPORA,UGANDA,3.0,1377.0,2017.0,3,1411,2022,0.0,34.0,2.4691358024691357
DIASPORA,DIASPORA,UNITED ARAB EMIRATES,,,,2,745,2022,,,
DIASPORA,DIASPORA,UNITED KINGDOM,,,,2,798,2022,,,
DIASPORA,DIASPORA,UNITED STATES OF AMERICA,,,,3,744,2022,,,
ELGEYO/MARAKWET,KEIYO NORTH,EMSOO,19.0,5334.0,2017.0,19,6461,2022,0.0,1127.0,21.128608923884514
ELGEYO/MARAKWET,KEIYO NORTH,KAMARINY,31.0,14746.0,2017.0,35,17416,2022,4.0,2670.0,18.10660518106605
ELGEYO/MARAKWET,KEIYO NORTH,KAPCHEMUTWA,30.0,13216.0,2017.0,33,15672,2022,3.0,2456.0,18.583535108958838
ELGEYO/MARAKWET,KEIYO NORTH,TAMBACH,23.0,8071.0,2017.0,26,9698,2022,3.0,1627.0,20.158592491636725
ELGEYO/MARAKWET,KEIYO SOUTH,CHEPKORIO,30.0,12320.0,2017.0,34,14294,2022,4.0,1974.0,16.022727272727273
ELGEYO/MARAKWET,KEIYO SOUTH,KABIEMIT,25.0,8793.0,2017.0,25,10136,2022,0.0,1343.0,15.273513021721824
ELGEYO/MARAKWET,KEIYO SOUTH,KAPTARAKWA,22.0,9179.0,2017.0,23,10426,2022,1.0,1247.0,13.585357882122235
ELGEYO/MARAKWET,KEIYO SOUTH,METKEI,17.0,6800.0,2017.0,18,7980,2022,1.0,1180.0,17.352941176470587
ELGEYO/MARAKWET,KEIYO SOUTH,SOY NORTH,23.0,7893.0,2017.0,25,9194,2022,2.0,1301.0,16.48295958444191
ELGEYO/MARAKWET,KEIYO SOUTH,SOY SOUTH,32.0,9065.0,2017.0,33,10367,2022,1.0,1302.0,14.362934362934363
ELGEYO/MARAKWET,MARAKWET EAST,EMBOBUT / EMBULOT,26.0,6471.0,2017.0,26,7625,2022,0.0,1154.0,17.833410601143562
ELGEYO/MARAKWET,MARAKWET EAST,ENDO,42.0,11880.0,2017.0,42,14238,2022,0.0,2358.0,19.848484848484848
