county,constituency,ward,no_of_polling_station,no_of_registered_voters
KIRINYAGA,KIRINYAGA CENTRAL,MUTIRA,31,17017
KIRINYAGA,MWEA,GATHIGIRIRI,21,10746
KIRINYAGA,MWEA,KANGAI,20,11653
KIRINYAGA,MWEA,MURINDUKO,35,17492
KIRINYAGA,MWEA,MUTITHI,33,17950
KIRINYAGA,MWEA,NYANGATI,30,15901
KIRINYAGA,MWEA,TEBERE,39,23093
KIRINYAGA,MWEA,THIBA,24,14119
KIRINYAGA,MWEA,WAMUMU,20,11426
KIRINYAGA,NDIA,KARITI,35,18613
KIRINYAGA,NDIA,KIINE,52,26668
KIRINYAGA,NDIA,MUKURE,42,20802
KISII,BOBASI,BASI BOGETAORIO,32,14860
KISII,BOBASI,BASI CENTRAL,22,10786
KISII,BOBASI,BOBASI BOITANGARE,18,9181
KISII,BOBASI,BOBASI CHACHE,23,11105
KISII,BOBASI,MASIGE EAST,20,9732
KISII,BOBASI,MASIGE WEST,19,9354
KISII,BOBASI,NYACHEKI,31,14297
KISII,BOBASI,SAMETA/MOKWERERO,19,9995
KISII,BOMACHOGE BORABU,BOKIMONGE,35,15618
KISII,BOMACHOGE BORABU,BOMBABA BORABU,22,10798
KISII,BOMACHOGE BORABU,BOOCHI BORABU,16,7560
KISII,BOMACHOGE BORABU,MAGENCHE,32,15105
KISII,BOMACHOGE CHACHE,BOOCHI/TENDERE,34,15614
KISII,BOMACHOGE CHACHE,BOSOTI/SENGERA,31,14946
KISII,BOMACHOGE CHACHE,MAJOGE BASI,24,11185
KISII,BONCHARI,BOGIAKUMU,26,14338
KISII,BONCHARI,BOMARIBA,18,9039
KISII,BONCHARI,BOMORENDA,29,14532
KISII,BONCHARI,RIANA,29,14715
KISII,KITUTU CHACHE NORTH,KEGOGI,17,9633
KISII,KITUTU CHACHE NORTH,MARANI,28,13291
KISII,KITUTU CHACHE NORTH,MONYERERO,29,13892
KISII,KITUTU CHACHE NORTH,SENSI,32,13849
KISII,KITUTU CHACHE SOUTH,BOGEKA,17,6865
KISII,KITUTU CHACHE SOUTH,BOGUSERO,23,10951
KISII,KITUTU CHACHE SOUTH,KITUTU CENTRAL,38,21942
KISII,KITUTU CHACHE SOUTH,NYAKOE,20,10939
KISII,KITUTU CHACHE SOUTH,NYATIEKO,17,8320
KISII,NYARIBARI CHACHE,BIRONGO,20,10187
KISII,NYARIBARI CHACHE,BOBARACHO,31,16714
KISII,NYARIBARI CHACHE,IBENO,25,11382
KISII,NYARIBARI CHACHE,KEUMBU,18,8570
KISII,NYARIBARI CHACHE,KIOGORO,19,8912
KISII,NYARIBARI CHACHE,KISII CENTRAL,36,21964
KISII,NYARIBARI MASABA,GESUSU,30,12242
KISII,NYARIBARI MASABA,ICHUNI,30,14468
KISII,NYARIBARI MASABA,KIAMOKAMA,22,10186
KISII,NYARIBARI MASABA,MASIMBA,28,12057
KISII,NYARIBARI MASABA,NYAMASIBI,22,10111
KISII,SOUTH MUGIRANGO,BOGETENGA,27,11864
KISII,SOUTH MUGIRANGO,BOIKANG'A,19,8689
KISII,SOUTH MUGIRANGO,BORABU / CHITAGO,33,15919
KISII,SOUTH MUGIRANGO,GETENGA,15,6602
KISII,SOUTH MUGIRANGO,MOTICHO,20,9922
KISII,SOUTH MUGIRANGO,TABAKA,30,14349
KISUMU,KISUMU CENTRAL,KONDELE,31,20252
KISUMU,KISUMU CENTRAL,MARKET MILIMANI,48,28992
KISUMU,KISUMU CENTRAL,MIGOSI,27,16654
KISUMU,KISUMU CENTRAL,NYALENDA B,23,14694
KISUMU,KISUMU CENTRAL,RAILWAYS,39,22952
KISUMU,KISUMU CENTRAL,SHAURIMOYO KALOLENI,28,16479
KISUMU,KISUMU EAST,KAJULU,41,23247
KISUMU,KISUMU EAST,KOLWA CENTRAL,35,19609
KISUMU,KISUMU EAST,KOLWA EAST,25,13269
KISUMU,KISUMU EAST,MANYATTA 'B',20,13387
KISUMU,KISUMU EAST,NYALENDA 'A',20,12026
KISUMU,KISUMU WEST,CENTRAL KISUMU,34,19758
KISUMU,KISUMU WEST,KISUMU NORTH,30,15826
KISUMU,KISUMU WEST,NORTH WEST KISUMU,24,12387
KISUMU,KISUMU WEST,SOUTH WEST KISUMU,27,13928
KISUMU,KISUMU WEST,WEST KISUMU,27,12540
KISUMU,MUHORONI,CHEMELIL,30,14692
KISUMU,MUHORONI,MASOGO/NYANG'OMA,33,15774
KISUMU,MUHORONI,MIWANI,18,9344
KISUMU,MUHORONI,MUHORONI/KORU,37,17456
KISUMU,MUHORONI,OMBEYI,24,11825
KISUMU,NYAKACH,CENTRAL NYAKACH,25,12390
KISUMU,NYAKACH,NORTH NYAKACH,41,19080
KISUMU,NYAKACH,SOUTH EAST NYAKACH,33,15398
KISUMU,NYAKACH,SOUTH WEST NYAKACH,20,8770
KISUMU,NYAKACH,WEST NYAKACH,28,13246
KISUMU,NYANDO,AHERO,34,16679
KISUMU,NYANDO,AWASI/ONJIKO,33,15568
KISUMU,NYANDO,EAST KANO/WAWIDHI,20,9040
KISUMU,NYANDO,KABONYO/KANYAGWAL,25,11252
KISUMU,NYANDO,KOBURA,36,19141
KISUMU,SEME,CENTRAL SEME,26,12899
KISUMU,SEME,EAST SEME,26,11996
KISUMU,SEME,NORTH SEME,25,12896
KISUMU,SEME,WEST SEME,34,15764
KITUI,KITUI CENTRAL,KYANGWITHYA EAST,35,14241
KITUI,KITUI CENTRAL,KYANGWITHYA WEST,35,14562
KITUI,KITUI CENTRAL,MIAMBANI,34,10471
KITUI,KITUI CENTRAL,MULANGO,41,14031
KITUI,KITUI CENTRAL,TOWNSHIP,38,17431
KITUI,KITUI EAST,CHULUNI,30,10967
KITUI,KITUI EAST,ENDAU/MALALANI,24,6917
KITUI,KITUI EAST,MUTITO/KALIKU,28,8694
KITUI,KITUI EAST,NZAMBANI,26,10662
KITUI,KITUI EAST,VOO/KYAMATU,32,8901
KITUI,KITUI EAST,ZOMBE/MWITIKA,34,11149
KITUI,KITUI RURAL,KANYANGI,34,10086
KITUI,KITUI RURAL,KISASI,31,12284
KITUI,KITUI RURAL,KWAVONZA/YATTA,54,16620
KITUI,KITUI RURAL,MBITINI,28,10624
KITUI,KITUI SOUTH,ATHI,49,14427
KITUI,KITUI SOUTH,IKANGA/KYATUNE,50,14385
KITUI,KITUI SOUTH,IKUTHA,29,10800
KITUI,KITUI SOUTH,KANZIKO,29,7699
KITUI,KITUI SOUTH,MUTHA,40,9744
KITUI,KITUI SOUTH,MUTOMO,37,11130
KITUI,KITUI WEST,KAUWI,38,13712
KITUI,KITUI WEST,KWA MUTONGA/KITHUMULA,25,9317
KITUI,KITUI WEST,MATINYANI,30,12868
KITUI,KITUI WEST,MUTONGUNI,50,16145
KITUI,MWINGI CENTRAL,CENTRAL,24,11685
KITUI,MWINGI CENTRAL,KIVOU,30,10947
KITUI,MWINGI CENTRAL,MUI,31,9222
KITUI,MWINGI CENTRAL,NGUNI,38,11314
KITUI,MWINGI CENTRAL,NUU,42,11269
KITUI,MWINGI CENTRAL,WAITA,29,8868
KITUI,MWINGI NORTH,KYUSO,68,18007
KITUI,MWINGI NORTH,MUMONI,52,14210
KITUI,MWINGI NORTH,NGOMENI,28,8081
KITUI,MWINGI NORTH,THARAKA,28,6177
KITUI,MWINGI NORTH,TSEIKURU,47,15016
KITUI,MWINGI WEST,KIOMO/KYETHANI,35,11247
KITUI,MWINGI WEST,KYOME/THAANA,44,13713
KITUI,MWINGI WEST,MIGWANI,41,13158
KITUI,MWINGI WEST,NGUUTANI,36,13731
KWALE,KINANGO,CHENGONI/SAMBURU,28,13124
KWALE,KINANGO,KASEMENI,32,12819
KWALE,KINANGO,KINANGO,32,13620
KWALE,KINANGO,MACKINNON ROAD,30,12483
KWALE,KINANGO,MWAVUMBO,34,13773
KWALE,KINANGO,NDAVAYA,29,10783
KWALE,KINANGO,PUMA,27,8504
KWALE,LUNGALUNGA,DZOMBO,26,13282
KWALE,LUNGALUNGA,MWERENI,29,13010
KWALE,LUNGALUNGA,PONGWE/KIKONENI,34,16068
KWALE,LUNGALUNGA,VANGA,29,14588
KWALE,MATUGA,KUBO SOUTH,26,10657
KWALE,MATUGA,MKONGANI,34,15639
KWALE,MATUGA,TIWI,21,9478
KWALE,MATUGA,TSIMBA GOLINI,40,17507
KWALE,MATUGA,WAA,32,17085
KWALE,MSAMBWENI,GOMBATO BONGWE,31,17538
KWALE,MSAMBWENI,KINONDO,21,11014
KWALE,MSAMBWENI,RAMISI,43,18569
KWALE,MSAMBWENI,UKUNDA,34,21500
LAIKIPIA,LAIKIPIA EAST,NANYUKI,47,26732
LAIKIPIA,LAIKIPIA EAST,NGOBIT,39,16771
LAIKIPIA,LAIKIPIA EAST,THINGITHU,32,16993
LAIKIPIA,LAIKIPIA EAST,TIGITHI,35,17014
LAIKIPIA,LAIKIPIA EAST,UMANDE,24,11376
LAIKIPIA,LAIKIPIA NORTH,MUGOGODO EAST,36,10944
LAIKIPIA,LAIKIPIA NORTH,MUGOGODO WEST,23,5583
LAIKIPIA,LAIKIPIA NORTH,SEGERA,24,11336
LAIKIPIA,LAIKIPIA NORTH,SOSIAN,45,18808
LAIKIPIA,LAIKIPIA WEST,GITHIGA,30,15441
LAIKIPIA,LAIKIPIA WEST,IGWAMITI,78,40585
LAIKIPIA,LAIKIPIA WEST,MARMANET,51,25478
LAIKIPIA,LAIKIPIA WEST,OL-MORAN,22,9242
LAIKIPIA,LAIKIPIA WEST,RUMURUTI TOWNSHIP,22,11070
LAIKIPIA,LAIKIPIA WEST,SALAMA,23,9114
LAMU,LAMU EAST,BASUBA,5,655
LAMU,LAMU EAST,FAZA,29,13673
LAMU,LAMU EAST,KIUNGA,11,3906
LAMU,LAMU WEST,BAHARI,24,9589
LAMU,LAMU WEST,HINDI,20,7376
LAMU,LAMU WEST,HONGWE,10,4406
LAMU,LAMU WEST,MKOMANI,22,10700
LAMU,LAMU WEST,MKUNUMBI,20,7994
LAMU,LAMU WEST,SHELLA,7,3366
LAMU,LAMU WEST,WITU,19,8111
MACHAKOS,KANGUNDO,KANGUNDO CENTRAL,31,14603
MACHAKOS,KANGUNDO,KANGUNDO EAST,28,11422
MACHAKOS,KANGUNDO,KANGUNDO NORTH,31,13025
MACHAKOS,KANGUNDO,KANGUNDO WEST,30,14425
MACHAKOS,KATHIANI,KATHIANI CENTRAL,28,13812
MACHAKOS,KATHIANI,LOWER KAEWA/KAANI,28,12605
MACHAKOS,KATHIANI,MITABONI,30,15300
MACHAKOS,KATHIANI,UPPER KAEWA/IVETI,27,13192
MACHAKOS,MACHAKOS TOWN,KALAMA,35,16098
MACHAKOS,MACHAKOS TOWN,KOLA,23,10433
MACHAKOS,MACHAKOS TOWN,MACHAKOS CENTRAL,49,27204
MACHAKOS,MACHAKOS TOWN,MUA,28,13992
MACHAKOS,MACHAKOS TOWN,MUMBUNI NORTH,22,12640
MACHAKOS,MACHAKOS TOWN,MUTITUNI,25,13453
MACHAKOS,MACHAKOS TOWN,MUVUTI/KIIMA-KIMWE,31,16057
MACHAKOS,MASINGA,EKALAKALA,26,10093
MACHAKOS,MASINGA,KIVAA,53,16689
MACHAKOS,MASINGA,MASINGA CENTRAL,45,16591
MACHAKOS,MASINGA,MUTHESYA,20,7958
MACHAKOS,MASINGA,NDITHINI,26,10658
MACHAKOS,MATUNGULU,KYELENI,17,7816
MACHAKOS,MATUNGULU,MATUNGULU EAST,27,11439
MACHAKOS,MATUNGULU,MATUNGULU NORTH,25,11472
MACHAKOS,MATUNGULU,MATUNGULU WEST,47,20118
MACHAKOS,MATUNGULU,TALA,29,15766
MACHAKOS,MAVOKO,ATHI RIVER,63,40132
MACHAKOS,MAVOKO,KINANIE,24,12663
MACHAKOS,MAVOKO,MUTHWANI,35,20020
MACHAKOS,MAVOKO,SYOKIMAU/MULOLONGO,67,45365
MACHAKOS,MWALA,KIBAUNI,32,8707
MACHAKOS,MWALA,MAKUTANO/ MWALA,35,16061
MACHAKOS,MWALA,MASII,41,16965
MACHAKOS,MWALA,MBIUNI,36,15062
MACHAKOS,MWALA,MUTHETHENI,33,11276
MACHAKOS,MWALA,WAMUNYU,36,13202
MACHAKOS,YATTA,IKOMBE,43,16372
MACHAKOS,YATTA,KATANGI,27,10401
MACHAKOS,YATTA,KITHIMANI,34,17499
MACHAKOS,YATTA,MATUU,31,15260
MACHAKOS,YATTA,NDALANI,34,14408
MAKUENI,KAITI,ILIMA,33,11992
MAKUENI,KAITI,KEE,28,10899
MAKUENI,KAITI,KILUNGU,36,15529
MAKUENI,KAITI,UKIA,47,19532
MAKUENI,KIBWEZI EAST,IVINGONI/NZAMBANI,37,13772
MAKUENI,KIBWEZI EAST,MASONGALENI,37,12954
MAKUENI,KIBWEZI EAST,MTITO ANDEI,42,15512
MAKUENI,KIBWEZI EAST,THANGE,35,15390
MAKUENI,KIBWEZI WEST,EMALI/MULALA,30,15409
MAKUENI,KIBWEZI WEST,KIKUMBULYU NORTH,22,8736
MAKUENI,KIBWEZI WEST,KIKUMBULYU SOUTH,24,12610
MAKUENI,KIBWEZI WEST,MAKINDU,51,20432
MAKUENI,KIBWEZI WEST,NGUU/MASUMBA,34,11256
MAKUENI,KIBWEZI WEST,NGUUMO,33,12362
MAKUENI,KILOME,KASIKEU,45,20182
MAKUENI,KILOME,KIIMA KIU/KALANZONI,38,17376
MAKUENI,KILOME,MUKAA,25,12674
MAKUENI,MAKUENI,KATHONZWENI,36,12781
MAKUENI,MAKUENI,KITISE/KITHUKI,31,10353
MAKUENI,MAKUENI,MAVINDINI,29,9867
MAKUENI,MAKUENI,MBITINI,33,12700
MAKUENI,MAKUENI,MUVAU/KIKUUMINI,27,12102
MAKUENI,MAKUENI,NZAUI/KILILI/KALAMBA,37,16324
MAKUENI,MAKUENI,WOTE,32,16690
MAKUENI,MBOONI,KALAWA,46,12941
MAKUENI,MBOONI,KITETA/KISAU,46,17241
MAKUENI,MBOONI,KITHUNGO/KITUNDU,33,12359
MAKUENI,MBOONI,MBOONI,36,14825
MAKUENI,MBOONI,TULIMANI,42,16904
MAKUENI,MBOONI,WAIA-KAKO,35,11606
MANDERA,BANISSA,BANISSA,11,3252
MANDERA,BANISSA,DERKHALE,11,5372
MANDERA,BANISSA,GUBA,7,946
MANDERA,BANISSA,KILIWEHIRI,10,4168
MANDERA,BANISSA,MALKAMARI,14,4738
MANDERA,LAFEY,ALANGO GOF,6,2842
MANDERA,LAFEY,FINO,5,1766
MANDERA,LAFEY,LAFEY,12,4856
MANDERA,LAFEY,SALA,3,1549
MANDERA,LAFEY,WARANQARA,10,3308
MANDERA,MANDERA EAST,ARABIA,11,3219
MANDERA,MANDERA EAST,KHALALIO,19,7244
MANDERA,MANDERA EAST,LIBEHIA,10,4207
MANDERA,MANDERA EAST,NEBOI,17,10210
MANDERA,MANDERA EAST,TOWNSHIP,27,14085
MANDERA,MANDERA NORTH,ASHABITO,19,10905
MANDERA,MANDERA NORTH,GUTICHA,19,8450
MANDERA,MANDERA NORTH,MOROTHILE,5,2366
MANDERA,MANDERA NORTH,RHAMU,36,20192
MANDERA,MANDERA NORTH,RHAMU-DIMTU,20,9318
MANDERA,MANDERA SOUTH,ELWAK NORTH,11,4543
MANDERA,MANDERA SOUTH,ELWAK SOUTH,17,6875
MANDERA,MANDERA SOUTH,KUTULO,18,6247
MANDERA,MANDERA SOUTH,SHIMBIR FATUMA,16,5518
MANDERA,MANDERA SOUTH,WARGADUD,9,2650
MANDERA,MANDERA WEST,DANDU,10,3934
MANDERA,MANDERA WEST,GITHER,13,6413
MANDERA,MANDERA WEST,LAGSURE,12,6725
MANDERA,MANDERA WEST,TAKABA,12,5494
MANDERA,MANDERA WEST,TAKABA SOUTH,11,4250
MARSABIT,LAISAMIS,KARGI/SOUTH HORR,14,4765
MARSABIT,LAISAMIS,KORR/NGURUNIT,22,8180
MARSABIT,LAISAMIS,LAISAMIS,16,5811
MARSABIT,LAISAMIS,LOGO LOGO,9,3411
MARSABIT,LAISAMIS,LOIYANGALANI,18,5937
MARSABIT,MOYALE,BUTIYE,17,5971
MARSABIT,MOYALE,GOLBO,27,10954
MARSABIT,MOYALE,HEILLU/MANYATTA,24,11813
MARSABIT,MOYALE,MOYALE TOWNSHIP,16,8979
MARSABIT,MOYALE,OBBU,14,4277
MARSABIT,MOYALE,SOLOLO,17,7078
MARSABIT,MOYALE,URAN,21,6592
MARSABIT,NORTH HORR,DUKANA,23,7044
MARSABIT,NORTH HORR,ILLERET,10,2281
MARSABIT,NORTH HORR,MAIKONA,30,8572
MARSABIT,NORTH HORR,NORTH HORR,22,6987
MARSABIT,NORTH HORR,TURBI,16,5974
MARSABIT,SAKU,KARARE,12,4018
MARSABIT,SAKU,MARSABIT CENTRAL,30,15125
MARSABIT,SAKU,SAGANTE/JALDESA,26,7939
MERU,BUURI,KIBIRICHIA,30,13819
MERU,BUURI,KIIRUA/NAARI,31,14463
MERU,BUURI,KISIMA,38,16855
MERU,BUURI,RUIRI/RWARERA,25,10504
MERU,BUURI,TIMAU,37,20036
MERU,CENTRAL IMENTI,ABOTHUGUCHI CENTRAL,50,23306
MERU,CENTRAL IMENTI,ABOTHUGUCHI WEST,26,10986
MERU,CENTRAL IMENTI,KIAGU,29,14175
MERU,CENTRAL IMENTI,MWANGANTHIA,44,22013
MERU,IGEMBE CENTRAL,AKIRANG'ONDU,28,13756
MERU,IGEMBE CENTRAL,ATHIRU RUUJINE,38,17794
MERU,IGEMBE CENTRAL,IGEMBE EAST,39,17736
MERU,IGEMBE CENTRAL,KANGETA,31,14198
MERU,IGEMBE CENTRAL,NJIA,45,20428
MERU,IGEMBE NORTH,AMWATHI,40,17025
MERU,IGEMBE NORTH,ANTUAMBUI,33,14992
MERU,IGEMBE NORTH,ANTUBETWE KIONGO,30,13303
MERU,IGEMBE NORTH,NAATHU,26,12032
MERU,IGEMBE NORTH,NTUNENE,22,9998
MERU,IGEMBE SOUTH,AKACHIU,27,12653
MERU,IGEMBE SOUTH,ATHIRU GAITI,28,12765
MERU,IGEMBE SOUTH,KANUNI,27,12773
MERU,IGEMBE SOUTH,KIEGOI/ANTUBOCHIU,33,14253
MERU,IGEMBE SOUTH,MAUA,29,15722
MERU,NORTH IMENTI,MUNICIPALITY,41,21454
MERU,NORTH IMENTI,NTIMA EAST,25,12855
MERU,NORTH IMENTI,NTIMA WEST,36,18601
MERU,NORTH IMENTI,NYAKI EAST,35,16567
MERU,NORTH IMENTI,NYAKI WEST,40,19970
MERU,SOUTH IMENTI,ABOGETA EAST,38,19264
MERU,SOUTH IMENTI,ABOGETA WEST,35,17618
MERU,SOUTH IMENTI,IGOJI EAST,37,17121
MERU,SOUTH IMENTI,IGOJI WEST,25,11958
MERU,SOUTH IMENTI,MITUNGUU,25,12820
MERU,SOUTH IMENTI,NKUENE,56,28633
MERU,TIGANIA EAST,KARAMA,28,11558
MERU,TIGANIA EAST,KIGUCHWA,21,10316
MERU,TIGANIA EAST,MIKINDURI,32,16924
MERU,TIGANIA EAST,MUTHARA,42,17831
MERU,TIGANIA EAST,THANGATHA,40,19291
MERU,TIGANIA WEST,AKITHII,31,15645
MERU,TIGANIA WEST,ATHWANA,16,7815
MERU,TIGANIA WEST,KIANJAI,40,19172
MERU,TIGANIA WEST,MBEU,20,9401
MERU,TIGANIA WEST,NKOMO,24,12081
MIGORI,AWENDO,CENTRAL SAKWA,26,13028
MIGORI,AWENDO,NORTH SAKWA,22,10041
MIGORI,AWENDO,SOUTH SAKWA,34,15270
MIGORI,AWENDO,WEST SAKWA,19,9954
MIGORI,KURIA EAST,GOKEHARAKA/GETAMBWEGA,16,6530
MIGORI,KURIA EAST,NTIMARU EAST,9,4803
MIGORI,KURIA EAST,NTIMARU WEST,15,7272
MIGORI,KURIA EAST,NYABASI EAST,18,7271
MIGORI,KURIA EAST,NYABASI WEST,22,9278
MIGORI,KURIA WEST,BUKIRA CENTRL/IKEREGE,14,6520
MIGORI,KURIA WEST,BUKIRA EAST,14,7043
MIGORI,KURIA WEST,ISIBANIA,15,7579
MIGORI,KURIA WEST,MAKERERO,11,4747
MIGORI,KURIA WEST,MASABA,21,7737
MIGORI,KURIA WEST,NYAMOSENSE/KOMOSOKO,23,9169
MIGORI,KURIA WEST,TAGARE,19,8262
MIGORI,NYATIKE,GOT KACHOLA,21,9276
MIGORI,NYATIKE,KACHIEN'G,19,8659
MIGORI,NYATIKE,KALER,8,4307
MIGORI,NYATIKE,KANYASA,18,6595
MIGORI,NYATIKE,MACALDER/KANYARWANDA,25,10880
MIGORI,NYATIKE,MUHURU,18,8786
MIGORI,NYATIKE,NORTH KADEM,29,12974
MIGORI,RONGO,CENTRAL KAMAGAMBO,27,15127
MIGORI,RONGO,EAST KAMAGAMBO,29,13547
MIGORI,RONGO,NORTH KAMAGAMBO,16,8463
MIGORI,RONGO,SOUTH KAMAGAMBO,25,11275
MIGORI,SUNA EAST,GOD JOPE,19,8738
MIGORI,SUNA EAST,KAKRAO,31,14464
MIGORI,SUNA EAST,KWA,15,7473
MIGORI,SUNA EAST,SUNA CENTRAL,30,15859
MIGORI,SUNA WEST,RAGANA-ORUBA,29,16663
MIGORI,SUNA WEST,WASIMBETE,20,8780
MIGORI,SUNA WEST,WASWETA II,16,9174
MIGORI,SUNA WEST,WIGA,23,11413
MIGORI,URIRI,CENTRAL KANYAMKAGO,16,7930
MIGORI,URIRI,EAST KANYAMKAGO,11,5541
MIGORI,URIRI,NORTH KANYAMKAGO,32,12970
MIGORI,URIRI,SOUTH KANYAMKAGO,26,13109
MIGORI,URIRI,WEST KANYAMKAGO,25,12126
MOMBASA,CHANGAMWE,AIRPORT,26,16606
MOMBASA,CHANGAMWE,CHAANI,33,21449
MOMBASA,CHANGAMWE,CHANGAMWE,29,17586
MOMBASA,CHANGAMWE,KIPEVU,22,13608
MOMBASA,CHANGAMWE,PORT REITZ,26,17082
MOMBASA,JOMVU,JOMVU KUU,36,22269
MOMBASA,JOMVU,MIKINDANI,46,30139
MOMBASA,JOMVU,MIRITINI,27,16899
MOMBASA,KISAUNI,BAMBURI,28,17685
MOMBASA,KISAUNI,JUNDA,37,23979
MOMBASA,KISAUNI,MAGOGONI,23,14846
MOMBASA,KISAUNI,MJAMBERE,34,22384
MOMBASA,KISAUNI,MTOPANGA,28,17539
MOMBASA,KISAUNI,MWAKIRUNGE,9,4946
MOMBASA,KISAUNI,SHANZU,39,24772
MOMBASA,LIKONI,BOFU,28,18060
MOMBASA,LIKONI,LIKONI,17,10855
MOMBASA,LIKONI,MTONGWE,23,13149
MOMBASA,LIKONI,SHIKA ADABU,21,13089
MOMBASA,LIKONI,TIMBWANI,51,32173
MOMBASA,MVITA,MAJENGO,48,28417
MOMBASA,MVITA,MJI WA KALE/MAKADARA,34,19927
MOMBASA,MVITA,SHIMANZI/GANJONI,33,17312
MOMBASA,MVITA,TONONOKA,36,21055
MOMBASA,MVITA,TUDOR,35,20380
MOMBASA,NYALI,FRERE TOWN,33,20215
MOMBASA,NYALI,KADZANDANI,32,18929
MOMBASA,NYALI,KONGOWEA,38,24457
MOMBASA,NYALI,MKOMANI,31,19669
MOMBASA,NYALI,ZIWA LA NG'OMBE,31,20747
MURANG'A,GATANGA,GATANGA,31,15942
MURANG'A,GATANGA,ITHANGA,21,10837
MURANG'A,GATANGA,KAKUZI/MITUBIRI,32,14630
MURANG'A,GATANGA,KARIARA,50,25272
MURANG'A,GATANGA,KIHUMBU-INI,33,16432
MURANG'A,GATANGA,MUGUMO-INI,30,12891
MURANG'A,KANDARA,GAICHANJIRU,30,15616
MURANG'A,KANDARA,ITHIRU,33,16703
MURANG'A,KANDARA,KAGUNDU-INI,33,18237
MURANG'A,KANDARA,MURUKA,28,15095
MURANG'A,KANDARA,NG'ARARIA,23,12391
MURANG'A,KANDARA,RUCHU,42,20591
MURANG'A,KANGEMA,KANYENYA-INI,27,14642
MURANG'A,KANGEMA,MUGURU,42,22124
MURANG'A,KANGEMA,RWATHIA,22,11964
MURANG'A,KIGUMO,KAHUMBU,24,10991
MURANG'A,KIGUMO,KANGARI,37,20558
MURANG'A,KIGUMO,KIGUMO,27,14953
MURANG'A,KIGUMO,KINYONA,34,17771
MURANG'A,KIGUMO,MUTHITHI,28,14208
MURANG'A,KIHARU,GATURI,37,18834
MURANG'A,KIHARU,MBIRI,36,19360
MURANG'A,KIHARU,MUGOIRI,38,18456
MURANG'A,KIHARU,MURARANDIA,32,17550
MURANG'A,KIHARU,TOWNSHIP,38,22990
MURANG'A,KIHARU,WANGU,31,17070
MURANG'A,MARAGWA,ICHAGAKI,23,12874
MURANG'A,MARAGWA,KAMAHUHA,29,15499
MURANG'A,MARAGWA,KAMBITI,28,12620
MURANG'A,MARAGWA,KIMORORI/WEMPA,42,23830
MURANG'A,MARAGWA,MAKUYU,30,15794
MURANG'A,MARAGWA,NGINDA,30,15461
MURANG'A,MATHIOYA,GITUGI,39,19723
MURANG'A,MATHIOYA,KAMACHARIA,28,14432
MURANG'A,MATHIOYA,KIRU,43,20785
NAIROBI CITY,DAGORETTI NORTH,GATINA,46,31039
NAIROBI CITY,DAGORETTI NORTH,KABIRO,44,28960
NAIROBI CITY,DAGORETTI NORTH,KAWANGWARE,39,25885
NAIROBI CITY,DAGORETTI NORTH,KILELESHWA,37,24916
NAIROBI CITY,DAGORETTI NORTH,KILIMANI,54,36414
NAIROBI CITY,DAGORETTI SOUTH,MUTU-INI,21,12663
NAIROBI CITY,DAGORETTI SOUTH,NGANDO,34,22133
NAIROBI CITY,DAGORETTI SOUTH,RIRUTA,54,35917
NAIROBI CITY,DAGORETTI SOUTH,UTHIRU/RUTHIMITU,31,19214
NAIROBI CITY,DAGORETTI SOUTH,WAITHAKA,28,17312
NAIROBI CITY,EMBAKASI CENTRAL,KAYOLE CENTRAL,37,25438
NAIROBI CITY,EMBAKASI CENTRAL,KAYOLE NORTH,36,25095
NAIROBI CITY,EMBAKASI CENTRAL,KAYOLE SOUTH,54,36777
NAIROBI CITY,EMBAKASI CENTRAL,KOMAROCK,44,29841
NAIROBI CITY,EMBAKASI CENTRAL,MATOPENI/SPRING VALLEY,22,14840
NAIROBI CITY,EMBAKASI EAST,EMBAKASI,64,43128
NAIROBI CITY,EMBAKASI EAST,LOWER SAVANNAH,41,28355
NAIROBI CITY,EMBAKASI EAST,MIHANGO,29,19890
NAIROBI CITY,EMBAKASI EAST,UPPER SAVANNAH,39,26555
NAIROBI CITY,EMBAKASI EAST,UTAWALA,34,22812
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA I,27,18216
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA II,28,18747
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA III,29,19572
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA IV,37,24929
NAIROBI CITY,EMBAKASI NORTH,KARIOBANGI NORTH,36,22789
NAIROBI CITY,EMBAKASI SOUTH,IMARA DAIMA,52,35279
NAIROBI CITY,EMBAKASI SOUTH,KWA NJENGA,35,23852
NAIROBI CITY,EMBAKASI SOUTH,KWA REUBEN,44,29706
NAIROBI CITY,EMBAKASI SOUTH,KWARE,37,25511
NAIROBI CITY,EMBAKASI SOUTH,PIPELINE,53,35966
NAIROBI CITY,EMBAKASI WEST,KARIOBANGI SOUTH,53,35309
NAIROBI CITY,EMBAKASI WEST,MOWLEM,27,18410
NAIROBI CITY,EMBAKASI WEST,UMOJA I,52,36281
NAIROBI CITY,EMBAKASI WEST,UMOJA II,55,36682
NAIROBI CITY,KAMUKUNJI,AIRBASE,19,12890
NAIROBI CITY,KAMUKUNJI,CALIFORNIA,25,16527
NAIROBI CITY,KAMUKUNJI,EASTLEIGH NORTH,40,27019
